Comments,HateSpeech,Emotion
বাংলাদেশে পাগলবন্দি ভাতা দেওয়া উচিত। এই কথার সাথে কে কে রাজি হাত তুলুন ‍,nonhate,sad
"সাংবাদিক গুলা কি বো***দা নাকি,,, মূর্খ টিকটকারের ইন্টারভিউ নেয়",hate,angry
ভাইটির পেটে আসতেছে মাথায় আসতেছে না  কি লজিকরেভাই,nonhate,sad
নতুন পাগলের আমদানি হচ্ছে এর জন্য সাংঘাতিক সাহেবদের অবদান ,nonhate,sad
ফকিনি পোলা,hate,angry
সৃজনশীল পোলাপান ,nonhate,happy
এই বালডারে নিয়া এতো কথা হচ্ছে কেন,hate,angry
এই বাইনচোদ ডেনডি খাই মনে হই,hate,angry
মাদারচোদের গোয়াতে বুম মাইক ডুকাইদেন ভাই,hate,angry
যারা এই পাগল ছাগলদের ইন্টারভিউ নিচ্ছে তারাও একটা গাঞ্জা খোড় ,hate,sad
অগ কুত্তা দিয়া চোদানো দরকার ,hate,angry
"আমি কি উগান্ডায় চলে আসলাম না কি,, ",nonhate,sad
সরকারের কাছে জোর দাবি জানাচ্ছি কমেন্ট পড়া লোকদের বেতনের ব্যবস্থা করা হোক ধন্যবাদ,nonhate,sad
ভিডিও টা দেখার পর কোমাতে আছি কেউ ডাক দিবেন না,nonhate,sad
আমি এই ভিডিও দেখার জন্যই বোধহয় বেঁচে ছিলাম। এখন মরে গেলেও কোন দুঃখ থাকবে না,nonhate,sad
"এমন গালি দিতে মন চাইতাসে, এমন মন চাইতাসে কিন্তু ভদ্রটার খাতিরে রাগের ঠেলায় দেয়ালে নিজের মাথা বাড়ি মেরে গালি দেওয়ার ইচ্ছে টাকে কবর দিয়ে দিসি।।।",nonhate,sad
ভাই তরে আর কত বলব গাড়ি খাইয়ে মদ চালাস না ,hate,sad
আচ্ছা এই টাকা গুলি কি ভ্যাট দিয়ে বৈধ করা যাবে কি,nonhate,sad
মানুষের কষ্টের শেষ নাই ,nonhate,sad
একজন ব্যাবসায়ী গ্রেফতার করা মোটেও ঠিক না।  এটা হয়রানি ছাড়া আর কিছু না ,nonhate,angry
ব্যবসা ভালই বেচারি মহিলা কান্না করতেছে আহ্ সোনা গো আমার এখন খুব কষ্ট হচ্ছে না,nonhate,sad
কত বড় নির্ভীক যোদ্ধা ,nonhate,angry
একজন অপরাধী তার মুখ ঢাকনা কেন ⁉,nonhate,sad
আমাদের সমাজটা কোথায় চলে গেছে বিবাহিত হলে দোষ হয়ে যায় আর বিয়ে করার আগে যা করবে কোন দোষ নাই ,nonhate,sad
তোরা কুত্তার বাচ্চারা দেশটাকে জাহাননাম বানাই ফেললি!!!!,hate,angry
"এই কুত্তার বাচ্চা,লায়লা যদি তোর বউ বা আত্মীয় না হয় তাহলে তার বাসায় ৪ বছর কেন থাকছিলে?তুই এবং লায়লা দুটাই আবর্জনা,অসভ্য।",hate,angry
"বজ্রপাত ও বীর্যপাত দুটোই মারাত্মক প্রথমটায় মৃত্যুর হার বাড়তেই থাকে আর দ্বিতীয়টায় জন্মের হার বাড়তেই থাকে তাই বন্ধুগণ, সাবধানতার প্রয়োজন।",hate,angry
\বজ্রপাতের সময় প্রয়োজন ছাড়া বাইরে নয়।আর ...বীর্যপাতের সময় প্রয়োজন ছাড়া ভেতরে নয়।,hate,angry
*জনস্বার্থে প্রচারিত*  ধিক্কার জানাই কনডম এবং মেডিসিন কোম্পানিকে এত পরীক্ষার পরেও কিভাবে দুর্ঘটনা ঘটে...,hate,sad
"যেহেতু লজ্জার ভ্যাকসিন তৈরি হয়নি এখনো, তাই আপাতত এদের কে কুকুরের ভ্যাকসিন দেওয়া উচিৎ! তাতে সমাজ একটু হলেও শান্তি পাবে! ",hate,sad
"মহিলা তো সিরিয়াস টাউট, ছেলে আর কতো ভালো হবে ",hate,sad
খালি শালীলিক সমপর্ক করছে ,nonhate,happy
জায়েদ খানের ফেমিকন নিয়ে আসো।মজা আরো লাগবে। ,nonhate,happy
যৌবনের জ্বালা বড় জ্বালা।,nonhate,angry
"পিজি হাসপাতাল থেকে উন্নত চিকিৎসার জন্য ঢাকা মেডিকেলে প্রেরণ, হাহাহাহা",nonhate,sad
দেশের দুর্নীতি তালিকায় প্রধান শীর্ষে এখন চিকিৎসা নামক পেশা । ,nonhate,sad
"ঔষধ কোম্পানিগুলো হাসপাতালে খুবই বিরক্ত করে, ",nonhate,angry
"এ কেমন পুলিশ, যে নিজের বিশেষ অঙ্গের সেইফটি দিতে পারেনা ",nonhate,sad
"অতিরিক্ত প্রেম আর ""অতিরিক্ত গরম দুইটাই বেশি হলেই ""জামা-কাপড়"" খুলতে হয়।",hate,angry
ঘরে ঘরে পতনের ভয়ে হোটেলে আসলো তবুও হোটেলেও বিবস্ত্র  আই হায় কামডা করলো কে-!,hate,sad
- হি!জড়াঃ টাকা দে নয়তো কা'পড় উঠামু.! আমার বন্ধু উ'ঠা একটু দেখি!',hate,happy
অর্ধনগ্ন অবস্থায় দৌড় টা কড়া আসিলো ,hate,happy
নিজের মেশিনের নিরাপত্তি দিতে পারে না যে পুলিশ সে জনগণের নিরাপত্তা দিবে কিভাবে প্যান্ট খুলে ধুর,hate,angry
আহারে দুনিয়া নুনুর নিরাপত্তা টা ও নাই,hate,angry
পুরাতন গর্ত হইতে সাবধান  গর্তে কাঁকড়া থাকতে পারে,nonhate,angry
আজব আজব সব ঘটনা শুধু বরিশালেই হয়,nonhate,sad
মেয়েরা ঘরে বসে ইমু ফ্রিল্যান্সিং করে মাসে লাখ টাকা ইনকাম করতে পারে ,nonhate,happy
অডিও কল ৩০০/ ভিডিও কল ৫০০ ,nonhate,sad
বিছানায় শুয়ে আয় করেন আরও বেশি মজা লাগবে,nonhate,happy
সরকার কি এই টাকার কোন ট্যাক্স নেবে না ,nonhate,sad
মুখ খুলছে কয়েকদিন পড়ে শোনা যাবে সবী খুলছে-!,nonhate,sad
ইমো ভিডিও কল এদের আয়ের প্রধান উৎস‍,hate,sad
এই সব ইমু উদ্যোক্তাদের সরকারিভাবে অনুদান দেয়া উচিত,nonhate,happy
এই দেশে কেউ কাউকে উঠতে দেখলেই টেনে নামিয়ে ফেলে! হিং*সা এদেশের মানু*ষের র*ক্তে মি*শে গেছে ,nonhate,sad
চুর... আগে মানুষের ঘরে ঘরে গিয়ে চুরি করতো... এখন শিক্ষিত হয়ে অফিসে বসে আছে... ,hate,sad
শ্রীলঙ্কান হেতি এতো সুন্দর কেমনে ,nonhate,happy
এই ভাইটি একমাত্র ব্যক্তি যে বিদেশ থেকে বউ আমদানি করে জিতছে ,nonhate,happy
এতোদিনে একটা সুন্দরী মেয়ে আসলো তাও আবার শ্রীলঙ্কা থেকে ,nonhate,happy
একাধিক পুরুষের প্রতি আকর্ষণ থাকলে ডিভোর্স তো হবেই। খুলনার মেয়েদের চরিত্র গুলো খুবই বৈচিত্র্যময়।,nonhate,sad
আমার ক্রাশ এখনো বিয়ে করেনি তাই সিলেটে বিবাহের হার কম,nonhate,sad
সিলেটের সবগুলো ইউরোপ লন্ডনের জন্য অপেক্ষা করছে আরকি,nonhate,sad
"বাংলাদেশে কি জামাইয়ের অভাব পরেছে যে ফেইজবুকে জামাই ধরতে হবে,,চরিত্রহিন নষ্টা নারী।",hate,angry
বাংলাদেশের ১৮ কোঠি মানুষের অভিশাপে তুমি টিকতে পারবে না আম্পিয়ার ,nonhate,angry
বর্তমান অবস্থা ভিক্ষা করতে আর গল্প বলতে টাকা লাগে না,nonhate,sad
"আর ব্যবসা করে লাভ নাই  এখন থেকে সাংবাদিক হয়ে যাব,,, মিথ্যা বুয়া ভিডিও বানাবো,,,,, আর টাকা ইনকাম করবো ",nonhate,sad
উনি কি তাহলে ছেলে ধরা ছিলেন,nonhate,sad
ওনার প্রোডাক্ট ভালো না আমাকে ছিঁড়া ওড়না দিয়েছে,nonhate,sad
আগেই জানতাম শরীল ব্যবসাই আর যাই হোক সৎ মানুষ হতে পারে নাহ!,hate,sad
চারিদিকে প্রতারণার চক্করে দেশ টা ভরে গেছে ,nonhate,angry
আর কত বিদেশ ঘুরবা মনু আর শরীর বিক্রি করবা সামলাও ঠেলা।,hate,sad
মানবতার কিডনিওয়ালা,nonhate,sad
একটা মানুষ এতটা জঘন্য হলে এত গুলো বছর এত মানুষকে আগলে রাখতে পারত না ,nonhate,angry
সাংবাদিক আর পুলিশ দুই ভাই আমরা সব বোকা চু*া ,hate,angry
বিশ্বাস হলো নামিডিয়া বিক্রি হয়ে গেছে।,nonhate,sad
"আত্নচিৎকার ও রক্ত দেখে পেতেন পৈশাচিক আনন্দ  বাহ কি সুন্দর নাটক,আমি লিখিত ভাবে তোদের নিউজের মাইরে চু*** ",hate,angry
আমাদের মধ্যে কতো মিল তাই না..!!দুইজন ই কাজকাম রেখে মোবাইল দেখতেছি..!!,nonhate,sad
শরীফা আপা,nonhate,happy
এই সমস্ত নোংরা নাটক বন্ধ করে দেওয়া উচিত ,nonhate,angry
",বিড়ি কিনতে যাচ্ছিলাম,,ভিডিওটা দেখার পর এখন গাজাঁ কিনতে যাচ্ছিসবাই দোয়া করবেন যেন সুস্থ থাকি",nonhate,angry
জোভান থেকে জোভানা ,nonhate,sad
এদেরকে লজ্জার ভ্যাকসিন দেওয়া দরকার ,nonhate,sad
পৃথিবীর সবচেয়ে সুখী মানুষ ওরাই কোন লজ্জা শরম নাই এত প্রতারনা করার পর ও বীরের মতো লাইভ করে আবার।,nonhate,sad
আপায় কট খাইছে,nonhate,angry
"আপা তো দেখি মস্ত বড় লিজেন্ড, ",nonhate,happy
"ও তো নিজেই ডুপ্লিকেট মাল,তার প্রডাক্ট অরিজিনাল হয় কেমনে।?",hate,happy
"তাঁকে মুক্তিযোদ্ধার ভাতা দেওয়া উচিৎ, সে পাকিস্তানকে ধোঁকা দিয়েছে। সে এ যুগের নবীন মুক্তিযোদ্ধা",nonhate,happy
গুলিস্তান আর পাকিস্তান!!! এত্ব মিল ক্যামনে,nonhate,sad
"লোকলজ্জার ভয়ে বলতে পারছি না! ""ভীড়ের মাঝে এক মেয়ের ওড়নায় স'র্দি মুছে ফেলেছি।""",nonhate,happy
চুমু একটা ভাল দিক স্বাস্থ্যের জন্যে খোব উপকার... ,nonhate,happy
"বাংলাদেশে রিকশাওয়ালা আর সাংবাদিক দুইটাই অনেক বাড়ছে,,,রিকশাওয়ালা যাত্রী পায়না.. সাংবাদিক খবর পায়না",nonhate,sad
কপালে যেটুকু সুখ লিখা ছিল তাও এই গরমে ঘাম মুছতে মুছতে উঠে গেছে! ,nonhate,sad
মিমের একটা তানিশার দুটো ,nonhate,sad
আসলে তানিসার সাথে নাজিম কেই মানায়..  কারণ ডাস্টবিনে ময়লা আবর্জনা থাকবে এটাইতো স্বাভাবিক... ,hate,sad
সানি লিওনের কথাটা বাদ গেল কেন বুঝলাম না ,nonhate,sad
তাতে আমাদের বাল ছেড়া গেছে ,hate,angry
বাংলাদেশে যে পরিমান সাংবাদিক আছে পৃথিবীর অনেক দেশে এতো পরিমাণ জনসংখ্যাও নাই। ,nonhate,sad
নারীরা এগিয়ে যাচ্ছে ঠিকই কিন্তু পাবনার দিকে ,nonhate,angry
মামুনের উচিত এখন লাইলার মেয়েকে বিয়ে করে লায়লাকে শাশুড়ী বানানো।,nonhate,happy
"এখন তো মনে হচ্ছে, লাইলাই বড় মাপের লুইচ্চা",hate,sad
ছোটবেলায় দেখতাম আলিফ লায়লা এখন বড় হয়ে দেখি মামুন লায়লা ,nonhate,sad
এমন নারী যেন কারও স্ত্রী না হয়,nonhate,sad
ভাই ওরে দেখলেই তো আমি অসুস্থ হইয়া যাই,nonhate,sad
ইজ্জত এর ভয়ে মন খুলে কমেন্ট করতে পারি নাযদি এলাকার কেউ কমেন্ট পড়ে ,nonhate,angry
এবার ঠিক ঠিক ওটি করাতে হবে,nonhate,happy
ভ্যাকগ্রাউন্ড বেশি ভালো হয়নি ,nonhate,sad
দুঃখের বিষয় হচ্ছে ডাক্তার মেডাম এতো সুন্দর হইছে কেমনে ,nonhate,sad
বিচ্ছেদের পর আলগা খাওয়া সেই স্বাদ!,nonhate,happy
কেউ কাউকে ফাঁসায়ছে না আমরা ফেসবুক খুল ফেঁসেছি,nonhate,sad
লায়লা শরির এর চাহিদা মিঠাইসে।আর মামুন লুচ্চায় টাকা কামাইসে।২টাই লাভবান আর সময় নিউজ এর পেটে ভাতের ব্যবস্থা হইছে।,hate,sad
কচি বেডা মানুষের সাথে প্রেম বুড়ি মেয়ের ,hate,sad
লায়লার নামে শিশু ধর্ষণের মামলা হওয়া উচিৎ,hate,angry
প্রেম করে লাভ কি যদি মরেই যাই,nonhate,sad
ওই মহিলাকে প্রকাশ্যে ল্যংটা করে জনগনের কাছে জুতার মালা দিয়ে তুলে দেয়া হোক,hate,angry
"আমরা অপেক্ষার প্রহর গুনচি অচিরে আরেকটা জাতির কুলাঙ্গার জন্ম নিবে,",hate,angry
চেৱি ৱে ও চেটেপুটে খাইয়ে.. ,hate,sad
"ছিঁরে জাক প্লাজূ,উরেঁ জাক লুঙ্গি,তূমি কী হবে আমার জীবন সঙ্গি",nonhate,sad
"ব্রেকিং নিউজ গাঁজা সংকটে বাংলাদেশ, মিলছে না কোথাও। পূর্বের মজুদ কৃত কয়েকটি দোকানে সাংবাদিকদের উপচে পড়া ভিড়। ",nonhate,angry
থাকবে কি করে সমানে গুতা নিলে শক্তি আরো বাড়ার কথা,hate,sad
কনডম আর মেডিসিন না থাকলে এগুলো প্রতিদিনই পেগনেন্ট হত,hate,angry
আমি যাহা বুঝেছি আপনারাও কি তাই বুঝেছেন ? ,nonhate,happy
রাতের ডোজ টা বেশি হয়েছিল মনে হয় ,nonhate,happy
উনি কিসে ক্লান্ত হলেন?,nonhate,sad
চুষে নিয়ে গেছে সব???,nonhate,sad
"চল্লিশা খাবো ,,,,, সেই স্বাদ ",nonhate,happy
হোগা মারা দেগা,hate,sad
সেলিব্রিটি বলে কথা ওদের সবকিছু হঠাৎ করেই হয়। ,nonhate,sad
মেকআপ ছাড়া অচল,nonhate,sad
সেদিন সাকিব ইনভাইট করে নাই তাই হয়তো কষ্ট পেয়েছে,nonhate,sad
টাকা দাও আমি কিছু শক্তি দিবো,nonhate,sad
অনেক জনের সাথে খেলি শক্তি শেষ করে পেলচে ,nonhate,sad
সারাদিন গাঁজা খেয়ে কুল পাই না  সংবাদ পড়ার সময় কই ,nonhate,sad
"যুব সমাজ নষ্টের কারিগর,গালি দিয়ে ভরপুর সব নাটক, বয়কট চলছে চলবে",nonhate,angry
শিমুলের ক্ষমা চাওয়ার ডিজাইনটা দেখে মনে হচ্ছে সে বিজ্ঞাপন টা করে অনেক খুশি,nonhate,sad
এতো সিকিউরিটি থাকতে লিটন শান্ত মাঠে ডুকে কীভাবে ,nonhate,sad
দেশের প্রতিটি সেক্টর এইভাবে ধ্বংস করে দিয়েছে,nonhate,sad
"হজম শক্তির পাউডার খাওয়াই আর বানচোত সাংবাদিক বলে মোটা করণ ট্যাবলেট খাওয়াচ্ছে,,,",hate,angry
"একে বলে জাত শিল্পী আর ফারিনের খালি গলায় গান শুনলে মনে হয়, হানিফ সংকেত ধরে এনে শিল্পী বানিয়ে দিলো।",nonhate,sad
বোকাচোদা এগুলা রুচির সেলাইন জাম্বোবেট হাম্বাদিক সাহেব,hate,angry
ক্রাশের দুংখে.. আমি মর্মাহত..ছিদ্র বন্ধ করতে সর্বদা প্রস্তুত ,nonhate,sad
"সাংবাদিক ভাই আপনি যাইয়া সাকিরার ফুডাটা বন্ধ করে দেন,,,,,,",hate,sad
চোখ দুটো একসাথে করলে মাঝখানে যে ছিদ্র হয় ওটাই বুঝাইছে আর কি ,nonhate,sad
ছিদ্রটা মনে হয় ঐইটা দিয়ে করেছে ,nonhate,sad
"তোমাদের নিচের ছিদ্রই ভরে না,আবার বুকে ছিদ্র ",hate,sad
এর উপর যেনো নাজিম বা*ইন*চুদের নজর না পরে,hate,angry
তোর বুবস দুটো একত্র করলে ওইখানে তো কৃত্রিম একটি ছিদ্র তৈরী হয়েই যায় । তোর ৩৪ সাইজের মাই দুটোকে একত্রিত করে রাখিস নাকি সারাক্ষণ ?,hate,angry
সাবরিনা কি তৃতীয় লিঙ্গের হয়ে গেল,hate,sad
হিজরার মতো খালি মচরা মুচি করে ,hate,happy
"ধৈর্য এবং বীর্য দুটোই যে ধরে রাখতে জানে সেই আসল পুরুষ।,",hate,happy
"এর কথা আর কন্ঠে, কেমন জানি চুদাইনা চুদাইনা ভাব আহে",hate,sad
গরুর হাটে গাধী গেছে।।। ,nonhate,sad
ষাঁড়ে এক থেকে দুইবার খেলেছিল সাবরিনাকে,hate,happy
বিশ্ব বিদ্যালয়ের অনুষ্ঠানে একজন পর্ণস্টার আসবে,hate,sad
প্রগতিশীল বুদ্ধিজীবীরা কয় সানিলিওন নাকি পর্ণস্টার গোদ বেছনি নয়!!,hate,sad
লায়লার কচি মাল পছন্দ লায়লা যেটাই খাবে সব কচি কচি ,nonhate,happy
"এ কি দেহ ব্যবসায়ী নাকি,,,,,হালির বেটির কতিন শাস্তি চাই কি বল তবাই",hate,angry
লায়লার মাথায় শুধু ই সেক্স করার ধান্দা,hate,sad
খাওয়া দাওয়া শেষ দ্য এন্ড ,nonhate,happy
বন্ধুর বাড়িতে গিয়ে রাতে থেকে কি করলেন? সেটা জানতে চায় জাতী।,nonhate,sad
বিমানে ওঠার টাকা নাই তাই রকেটে করে বাড়ি যাই ,nonhate,sad
"এখানে তাকে রাতে তাকে চুদেচে তাই সেয় চিৎকার করতে চিল,",hate,happy
চোদার জন্য চিললাই,hate,happy
হাসতে হাসতে বিযপাত হয়ে গেলো ,hate,happy
ওটাকে চিল্লানো বলেনা ওটা পর্যাপ্ত তৃপ্তি পাওয়ার একটা কঠিন অনুভূতি প্রকাশ পায় ,nonhate,happy
লায়লার দিন শেষ আইনজীবীর বাংলাদেশ ,nonhate,happy
ওরা দুইডা ওয়াশরুমে কি করে.?,nonhate,sad
"গর্ত করে, গায়ে মাটি লেগেছে সেটা পরিষ্কার করছে,,,",nonhate,sad
"এতদিন তাহলে লায়লার দু******দু খাইছে,,,,আর কিছু করেনি,,,,,",hate,sad
তার এখন ও গুড়ুয়ে বাল* ও উটেনা,hate,happy
সব সেটা বড় সু'তমারা'নি এক রাতে মজা পেয়েগেছে এখন পু'ন্দা পু'ন্দি শুরু,hate,sad
মাঝখান দিয়া ৮ ইঞ্চিরা যাইবো নি ,nonhate,happy
দূধ দেখলে সূখপায়,nonhate,happy
উদলা না হলে নায়িকা হওয়া যায় না,hate,sad
পরিচালকের সাথে রাত কাটালেই নায়িকা,hate,sad
দুধ হলো শরীরের বাড়তি মাংশ,hate,sad
"দুধ তো আগেই বড় হয়ে আছে, উনি খেললে যে কী হবে!",hate,angry
গর্তে ইঁদুর ঢুকে মজা পায় না! তাই বেরিয়ে যায়,hate,sad
কেয়া কসমেটিকের পক্ষ থেকে প্যান্থার মুভি দেখার জন্য অনুরোধ রইল এর বেশি কিছু বলা নিষেধ। ,nonhate,happy
আর কত লিংক দেখব তোদের জন্য হ্যান্ডেল মেরে মেরে শেষ হয়ে গেলাম,nonhate,sad
স্বর্ণ নিয়ে আসেন কিসে করে?? ,nonhate,sad
কয়দিন পর বলবে আমি ভাত খাই ডায়মন্ডের থালায়,nonhate,happy
সানি লিওনের লেংটা ভিডিও আমার কাছে আছে,hate,sad
নিওমিত কাম দিলেই ফিট থাকা জাই,nonhate,happy
সকালটা শুরু হয় প্রচুর পরিমাণ দুধ পান করে কি আজব তাই না ,nonhate,happy
চোদাচুদির বিকল্প নেই,hate,happy
নিয়মিত সে ক্স করলে সৌন্দর্য বাড়ে,hate,happy
দুইটা দুধ নিয়ে নিজেকে ভাবছো তুমি রানী..! কুত্তার তো ৬ টা আছে সে তো তাহলে মহারানী..!!,hate,sad
পরিমনিকে বিয়ে করতে যাচ্ছেন হিরো আলম,nonhate,happy
পরিমনি মানেই তো উষ্নতার সমুদ্র,nonhate,happy
দুধ এখন কদু হয়ে গেছে ,hate,happy
দুধ বের করলে যদি উস্নতা হয় তাহলে কুত্যার উস্নতা সব চেয়ে বেশি,hate,angry
পরীর বড় বড় দূধ গুলা কাইটা আমার বাসাই লয়ে আই পিকনিক করমু ,hate,sad
এমন শাড়ি পরার কি দরকার উলঙ্গ হয়ে থাকতে পারতেন।,hate,sad
"আহারে,,,,,,,কবে এ দেশটা চোরের হাত থেকে মুক্তি পাবে ",nonhate,sad
কোন শান্ত??? জিরো মারা শান্ত??? কিনমু না...,nonhate,sad
দুই জনকে এলাকাবাসী মিলে জোতার মালা দেয়া উচিদ। ,hate,angry
অনেক ঠাপাঠাপির পর একটু বমি আহ্ কি শান্তি ,nonhate,happy
নাড়া দিতেই এভাবে বেড়িয়ে আসে কেনো ,nonhate,sad
বাংলাদেশে এখন বড় ব্যবসা হলো লিংক এর ব্যবসা,nonhate,sad
নাম এইতো দিঘী দিঘীর সমুদ্র ত গভীর হবেই,nonhate,happy
মামার হাতেই পরম যত্নে দিগি ধীরে ধীরে সাগরে রুপান্তরিত হয়েছে,nonhate,happy
"উর্বর দুই পাহাড়"" ভাগ্য তো তাহার যে করিয়াছে আহার...! ",nonhate,happy
ব্যথা দিও না,nonhate,angry
আমার খুব ভালো লাগে কেউ ধরলে,nonhate,happy
আমি ও বলি মনের চেয়ে ও ওইটাই নরম।,nonhate,happy
ও আ উ আ ই ,nonhate,happy
এটা মন নারে পাগলা এটা হলো দু..,hate,sad
মন ভেবে যা টিপছো ওটা অন্যের খাবার,nonhate,sad
